ticker,units,price,value
QLGN,2954933,0.7368421052631579,0.002177319052631579
YTEN,869982,2.5,0.002174955
CCBC,167179,13.0,0.002173327
PLX,30322020,0.07142857142857142,0.0021658585714285712
MAYS,66219,32.63636363636363,0.002161147363636363
KFFB,319639,6.75,0.00215756325
KEJI,119203,18.0,0.002145654
HLAL,55526,38.6,0.0021433036000000003
VFSUX,213814,10.0,0.00213814
XBTF,45382,47.0,0.002132954
RALS,71059,30.0,0.00213177
VWSTX,142010,15.0,0.00213015
HJPX,75462,28.2,0.0021280284
WGROX,20372,104.33333333333333,0.0021254786666666664
TYNE,84959,25.0,0.002123975
NPIFF,71901,29.5,0.0021210795
EZJ,47541,44.6,0.0021203286
HLPPY,254127,8.333333333333334,0.002117725
RODI,16500,128.0,0.002112
LTL,37428,56.333333333333336,0.002108444
NCLTY,35091,60.0,0.00210546
DSTX,84735,24.833333333333332,0.0021042525
CPXIX,157736,13.333333333333334,0.002103146666666667
APXH,232245,9.0,0.002090205
HUDI,66561,31.4,0.0020900154
SCI1,29809,70.0,0.00208663
BOUT,54570,38.18181818181818,0.002083581818181818
MRSK,71816,29.0,0.002082664
SPXN,20855,99.83333333333333,0.0020820241666666666
EEMO,134093,15.5,0.0020784415
KORU,80971,25.6,0.0020728576
OVM,82748,25.0,0.0020687
GOVZ,96661,21.333333333333332,0.0020621013333333334
CHIH,97505,21.142857142857142,0.002061534285714286
SPAK,110903,18.583333333333332,0.0020609474166666665
AHLYX,205403,10.0,0.00205403
YSEP,107072,19.181818181818183,0.0020538356363636366
BNE,73315,27.857142857142858,0.002042346428571429
REC,89212,22.75,0.002029573
PPERY,142261,14.25,0.00202721925
GLGDF,1013126,2.0,0.002026252
OCG,439833,4.6,0.0020232317999999997
PXJ,772221,2.6153846153846154,0.002019654923076923
ARDS,1361937,1.48,0.00201566676
ABYSX,80510,25.0,0.00201275
HLIEX,86355,23.25,0.00200775375
JMSIX,222956,9.0,0.002006604
FFNTF,2006500,1.0,0.0020065
MNAT,55672,36.0,0.002004192
